"STATION","NAME","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT06","WT08","WT09"
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-01","1.0"," 1500"," 1459","0.0",,,"12.8","22.8","2.8","    0","  200","  200","5.4","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-02","1.3"," 1425"," 1305","0.3",,,"12.2","21.7","2.2","    0","  160","  160","4.5","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-03","2.3"," 1532"," 1539","0.0",,,"15.0","22.8","7.2","    0","  300","  310","9.4","11.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-04","0.7"," 0016"," 0011","1.8",,,"10.0","15.0","5.0",,"  280","  230","3.6","5.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-05","0.8",,,,,,,,,,,,,,,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-06","1.3"," 1712"," 1711","4.3",,,"9.4","12.8","5.6",,"  340","   10","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-07","1.7"," 0446"," 1553","8.4",,,"6.7","10.0","2.8",,"  360","  250","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-08","1.2"," 1510"," 1510","8.6",,,"3.3","6.1","0.6","    0","  320","  310","5.4","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-09","1.5"," 1343"," 1138","0.0",,,"2.8","5.0","0.0","    0","   10","  360","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-10","2.4"," 1041"," 0033","2.8",,,"2.8","5.6","0.0","    0","  310","  340","6.7","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-11","2.9"," 1012"," 1011","0.3",,,"7.2","13.9","0.6",,"  310","  310","10.3","13.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-12","1.3"," 1251"," 1429","0.0",,,"7.8","18.3","-2.8",,"  260","  260","6.3","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-13","1.3"," 0243"," 0240","0.0",,,"11.7","20.0","2.8",,"  210","  220","5.8","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-14","2.8"," 0922"," 2146","0.0",,,"17.8","23.9","11.1",,"  200","  230","7.6","9.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-15","3.1"," 0803"," 0802","0.0",,,"11.1","20.0","2.2",,"  340","  350","7.2","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-16","1.0"," 1336"," 1335","0.5",,,"3.9","5.6","2.2","    0","  210","  200","3.6","5.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-17","1.0"," 1616"," 1710","0.0",,,"10.0","15.6","4.4",,"  220","  210","4.0","4.5",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-18","1.2"," 1119"," 1118","10.9",,,"8.3","10.0","6.7",,"  220","  230","4.0","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-19","1.5"," 1539"," 1601","0.5",,,"7.8","11.7","3.3",,"  320","  310","8.9","11.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-20","1.1"," 1352"," 1351","0.3",,,"8.3","18.3","-1.7","    0","  190","  200","4.5","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-21","3.1"," 1523"," 1522","0.0",,,"10.6","19.4","1.7","    0","  310","  300","8.0","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-22","2.1"," 0901"," 0900","0.0",,,"2.2","7.8","-3.3","    0","  330","  320","6.7","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-23","0.8"," 0916"," 0914","0.0",,,"3.9","13.9","-6.1","    0","  200","  190","4.5","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-24","0.8"," 2013"," 2013","0.0",,,"7.2","15.6","-1.1","    0","  320","  300","4.0","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-25","0.8"," 1352"," 1315","0.3",,,"11.7","19.4","3.3","    0","  360","   10","3.6","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-26","0.4"," 1314"," 1313","0.0",,,"11.1","20.0","2.2","    0","  360","  360","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-27","1.9"," 2359"," 2357","0.8",,,"13.9","22.2","5.0","    0","   10","   10","9.8","13.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-28","5.7"," 0000"," 1626","0.0",,,"3.9","8.3","-1.1","    0","  360","   10","9.8","14.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-29","5.8"," 1339"," 0436","0.0",,,"-1.7","-0.6","-3.3","    0","  350","  330","9.4","13.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-30","4.7"," 0806"," 0744","0.8",,,"2.8","5.6","-0.6",,"  360","   10","8.0","10.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-10-31","3.2"," 1152"," 1515","0.3",,,"1.1","5.0","-2.8",,"  350","  330","7.2","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-01","2.1"," 1547"," 1542","0.0",,,"2.8","8.3","-3.3",,"  340","  320","7.2","9.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-02","1.2"," 1459"," 1437","0.0",,,"3.3","12.2","-5.6",,"  340","  340","5.8","7.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-03","0.1"," 2208"," 1413","0.5",,,"6.1","16.1","-4.4",,"  210","  320","2.2","2.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-04","1.7"," 2030"," 1836","2.8",,,"8.3","14.4","2.2",,"  340","  340","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-05","3.1"," 1414"," 1405","11.7",,,"4.4","5.0","3.3","    0","  340","  350","6.7","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-06","3.5"," 1456"," 1455","0.0",,,"3.3","4.4","1.7","    0","  360","   10","6.7","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-07","1.3"," 1647"," 1646","0.0",,,"6.1","8.3","3.9","    0","  360","   10","4.0","5.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-08","0.4"," 2101"," 2100","0.0",,,"6.1","7.2","5.0","    0","  360","  350","3.1","3.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-09","0.3"," 2335"," 2339","0.3",,,"7.8","11.7","3.9","    0","  210","  240","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-10","2.1"," 1127"," 0700","13.5",,,"8.3","9.4","7.2","    0","  200","  220","4.5","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-11","2.8"," 1711"," 1826","1.5",,,"6.1","8.3","3.9","    0","  340","  350","7.2","9.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-12","2.6"," 0512"," 0858","0.0",,,"2.8","3.9","1.7","    0","  340","  320","6.3","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-13","1.5"," 2327"," 2326","0.0",,,"5.0","7.2","2.8","    0","  180","  180","6.3","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-14","2.0"," 1920"," 1924","12.2",,,"5.0","7.8","1.7",,"  350","  350","8.0","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-15","2.9"," 2059"," 2058","0.5",,,"1.7","3.9","-1.1",,"  310","  290","8.0","10.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-16","2.8"," 0502"," 0505","0.0",,,"3.9","5.6","2.2",,"  330","  320","7.6","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-17","4.7"," 2115"," 1946","1.0",,,"2.8","6.7","-1.7",,"  310","  320","8.9","11.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-18","1.9"," 0900"," 2356","0.0",,,"-1.7","1.7","-5.0",,"  310","  320","7.2","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-19","0.8"," 1156"," 1158","0.3",,,"-1.1","3.3","-6.1",,"  240","  260","4.5","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-20","1.5"," 1249"," 1248","0.0",,,"-1.7","3.9","-7.8",,"  190","  200","8.0","11.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-21","1.6"," 1304"," 1303","3.6",,,"-1.1","1.1","-3.9",,"  200","  200","5.4","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-22","1.2"," 0956"," 0643","0.0",,,"-4.4","-2.2","-6.7",,"  210","  210","4.0","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-23","2.4"," 1118"," 1946","0.0",,,"-9.4","-5.0","-13.9",,"  360","   20","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-24","0.4"," 1216"," 1159","0.0",,,"-11.7","-6.7","-16.7","    0","   10","   30","3.1","4.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-25","1.0"," 1025"," 1024","0.0",,,"-7.2","1.7","-16.7","    0","  150","  150","4.0","5.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-26","1.2"," 1850"," 1850","16.5",,,"-2.2","2.8","-7.2","    0","  360","  360","4.5","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-27","0.4"," 1740"," 1654","3.3",,,"2.2","3.3","0.6","    0","  360","  360","3.6","4.5",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-28","0.1"," 0249"," 0030","0.5",,,"2.8","4.4","0.6","    0","  320","   50","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-29","0.3"," 0213"," 1341","0.8",,,"2.2","3.9","0.6","    0","  200","  260","3.1","3.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-11-30","2.3"," 1623"," 1428","0.3",,,"1.1","2.2","-0.6",,"  350","  360","6.3","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-01","2.7"," 2329"," 2356","0.8",,,"-3.3","0.0","-6.7",,"  350","  360","9.4","65.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-02","3.7"," 1130"," 1454","0.0",,,"-7.2","-6.1","-8.9",,"  360","  360","10.3","65.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-03","0.4"," 1322"," 1322","0.0",,,"-7.8","-0.6","-15.0",,"   20","   10","3.1","3.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-04","0.4"," 1353"," 1330","0.0",,,"-5.6","1.7","-12.8",,"  350","   20","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-05","3.0"," 1319"," 2326","0.5",,,"-3.9","3.9","-11.7",,"  210","  280","9.8","12.5",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-06","2.1"," 0037"," 0036","0.3",,,"-8.3","-4.4","-12.8",,"  270","  270","7.2","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-07","3.6"," 1355"," 1354","0.8",,,"-11.1","-5.0","-17.2",,"  320","  300","8.0","11.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-08","0.0"," 2240"," 2238","0.0",,,"-17.2","-11.7","-23.3",,"  350","   10","1.3","2.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-09","0.5"," 1534"," 1547","0.0",,,"-15.0","-9.4","-21.1",,"  310","  300","5.4","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-10","1.6"," 2024"," 1023","0.3",,,"-11.1","-2.2","-20.0",,"  170","  190","4.0","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-11","0.3"," 0041"," 0039","1.0",,,"-1.1","0.6","-2.8",,"  190","  190","3.6","4.5",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-12","4.2"," 1327"," 1327","8.9",,,"-5.0","5.0","-15.0",,"  310","  310","13.0","17.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-13","0.8"," 0302"," 0301","0.0",,,"-14.4","-8.3","-20.6",,"  360","   10","5.4","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-14","1.1"," 1924"," 1922","10.2",,,"-6.1","-4.4","-8.3",,"  310","  290","7.2","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-15","0.7"," 0521"," 0035","0.0",,,"-10.0","-3.9","-16.1",,"   30","  360","4.5","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-16","1.7"," 2048"," 2047","6.6",,,"-5.0","4.4","-15.0",,"  200","  190","10.7","13.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-17","2.0"," 2356"," 2351","43.9",,,,,,,"  210","  250","6.3","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-18","4.8"," 0701"," 0701","3.6",,,"-3.3","1.7","-8.9",,"  270","  310","9.8","18.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-19","0.4"," 1136"," 0219","3.0",,,"-8.3","-5.0","-11.7",,"  160","   10","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-20","3.2"," 1813"," 1812","3.8",,,"-8.9","-5.0","-13.3",,"  320","  320","9.4","11.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-21","0.4"," 2338"," 2337","0.0",,,"-13.3","-7.2","-20.0",,"  200","  200","4.0","4.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-22","1.2"," 2043"," 2042","0.3",,,"-8.9","-3.9","-13.9",,"  320","  330","6.7","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-23","2.6"," 1053"," 0917","0.0",,,"-12.2","-7.2","-17.2",,"  320","  310","7.6","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-24","0.4"," 1721"," 1701","0.3",,,"-15.6","-8.9","-22.2",,"  130","  150","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-25","4.1"," 1140"," 1412","0.8",,,"-12.8","-7.8","-17.8",,"  320","  300","8.0","10.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-26","3.9"," 2312"," 2311","0.0",,,"-17.8","-8.9","-20.6",,"  330","  360","10.3","65.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-27","4.4"," 1335"," 1335","0.0",,,"-10.0","-7.2","-13.3",,"  350","  350","7.2","9.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-28","3.4"," 0455"," 0406","0.0",,,"-13.9","-11.7","-16.1",,"  360","   10","7.2","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-29","1.4"," 1619"," 1619","0.0",,,"-11.1","-7.2","-15.0",,"  350","  350","5.4","6.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-30","1.4"," 2337"," 2119","8.1",,,"-11.7","-4.4","-18.9",,"  360","  360","4.0","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2000-12-31","3.6"," 2349"," 2348","2.3",,,"-4.4","-3.3","-6.1",,"  320","  320","7.6","10.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-01","3.5"," 0130"," 0129","0.0",,,"-8.3","-6.1","-11.1",,"  300","  320","7.6","10.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-02","1.5"," 0741"," 0740","0.0",,,"-11.1","-8.9","-13.9",,"   10","   10","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-03","0.5"," 2205"," 2202","0.0",,,"-8.3","-3.3","-13.9",,"  210","  230","3.6","4.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-04","2.1"," 2058"," 2113","0.8",,,,,,,"  340","  330","5.8","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-05","1.7"," 1753"," 2032","0.0",,,"-9.4","-2.2","-17.2",,"  210","  210","6.7","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-06","1.0"," 2212"," 2211","0.0",,,"-7.2","-1.1","-13.9",,"  360","   10","5.4","6.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-07","0.8"," 2214"," 2214","0.0",,,"-6.7","-2.8","-10.6",,"  190","  190","1.3","1.3",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-08","0.9"," 1803"," 1804","0.3",,,"-3.9","-0.6","-7.8",,"  360","  360","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-09","2.0"," 2208"," 2209","0.0",,,"-9.4","-6.1","-13.3",,"  340","  360","6.7","8.9",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-10","1.6"," 0531"," 0530","0.0",,,"-15.0","-9.4","-20.6",,"  360","   30","7.2","9.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-11","2.5"," 1628"," 1722","0.5",,,"-9.4","0.0","-18.9",,"  320","  320","9.4","13.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-12","1.8"," 0141"," 0140","0.0",,,"-17.8","-6.7","-21.7","    0","  350","  360","6.3","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-13","0.3"," 1609"," 1609","0.0",,,"-17.8","-4.4","-22.8","    0","  140","  130","4.5","5.8",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-14","1.6"," 2333"," 1534","0.0",,,"-2.8","0.0","-5.6","    0","   30","  360","5.8","7.2",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-15","2.6"," 1827"," 2145","0.0",,,"-3.9","-1.1","-7.2","    0","  210","  220","6.3","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-16","2.1"," 1956"," 2017","4.3",,,"-1.7","1.1","-4.4","    0","  330","  350","7.2","9.4",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-17","2.6"," 2111"," 0513","0.0",,,"-10.6","-4.4","-16.7",,"  360","  350","5.8","7.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-18","0.4"," 1310"," 1309","0.0",,,"-15.6","-6.1","-25.0",,"  190","  200","3.6","4.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-19","1.0"," 2134"," 2133","0.0",,,"-6.7","-1.1","-12.2",,"  350","  350","8.9","10.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-20","1.3"," 0027"," 0020","0.0",,,"-14.4","-7.8","-21.7",,"  350","  360","6.7","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-21","1.5"," 0830"," 0818","0.0",,,"-16.1","-8.9","-23.3",,"  350","  360","6.3","8.0",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-22","0.6"," 2142"," 2138","0.0",,,"-10.6","-3.9","-17.8",,"  190","  200","2.7","3.1",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-23","0.3"," 1158"," 1259","1.3",,,"-11.7","-1.7","-22.2",,"   20","  350","3.1","3.6",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-24","0.1"," 1405"," 1525","3.0",,,"-2.2","1.1","-6.1",,"   10","   20","2.7","2.7",,,,,,
"USW00054771","MORRISVILLE STOWE STATE AIRPORT, VT US","2001-01-25","2.0"," 1057"," 1415","0.0",,,"-11.1","-3.3","-19.4",,"  350","  360","7.6","9.8",,,,,,
