Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19,RB average 01-16,WB average 01-15,RB avg mm,WB avg mm,RB cum mm,WB cum mm
1-Oct,1,2.6,2.8,6.2,4.3,3.5,5.8,36,1.8,12,14.8,170,14,49,2.3,1.9,6.67,2.11,2.39,7.41,5.9,5.4,10,8.1,5.6,12,44,4.6,32,16.7,231,20,116,5,3.8,11.8,3.62,3.69,14.8,18.19,29.16,4.64,6.1,4.64,6.1
2-Oct,2,2.5,2.5,6.6,3.6,3.7,4.1,43,1.6,18,17,44,24,15,2.4,2.2,3.33,2.24,2.35,63.8,5.7,5,10,7.1,5.8,9.4,46,4.2,48,18,54,41,29,4.8,3.8,5.94,3.88,3.61,95,13.79,21.06,3.51,4.41,8.15,10.5
3-Oct,3,2.3,2.4,7.1,4.1,4.1,3.4,21,1.6,9.4,24.8,19,24,10,2.6,2.3,2.43,2.39,2.32,36.4,5.5,4.7,12,9.4,5.9,8.1,27,4.3,22,31.4,26,42,18,4.6,3.7,5.59,4.16,4.08,55.9,9.56,15.49,2.44,3.24,10.59,13.74
4-Oct,4,2.5,2.3,5.9,16,3.8,2.9,24,1.5,5.8,13.3,12,16,20,2.6,5.9,2.04,2.75,2.33,12.1,5.5,4.3,9.5,33,5.7,7,46,4.6,15,17.1,18,28,42,4.6,8.9,4.73,4.76,4.58,24.4,8.09,15.14,2.06,3.17,12.65,16.91
5-Oct,5,2.8,2.3,5.9,17,4,2.6,40,1.4,4.2,11,8.7,15,16,2.7,11,1.76,2.7,3.32,7.52,6,4.2,9.7,30,5.7,6.5,58,4,12,14.8,13,29,32,4.5,17,3.88,4.49,6.28,16.1,8.42,14.59,2.15,3.05,14.79,19.96
6-Oct,6,18,3.9,4.9,8.6,3.8,2.5,15,7,3.5,11.9,8.4,11,13,3.6,3.6,1.62,2.43,2.53,5.87,29,6.7,7.9,15,5.1,5.8,22,7.1,9.8,13.1,15,17,27,5.6,6.5,3.4,4.4,4.34,12.5,6.9,11.43,1.76,2.39,16.55,22.35
7-Oct,7,11,6.2,4.4,5.9,3.8,3,11,14,3.1,41.6,27,8.1,11,21,3.4,1.52,2.35,2.55,19.3,19,8.3,7.1,11,5,7.1,16,12,8.4,58.7,31,13,20,38,6.5,3.27,4.21,4.34,24,10.54,15.63,2.69,3.27,19.24,25.62
8-Oct,8,11,5.8,4,4.7,3.7,42,9.1,50,2.8,37.6,20,6.8,9.6,14,7.7,1.46,2.46,2.88,9.77,17,8.4,6.5,9.3,4.9,58,14,48,7.5,49.3,25,11,16,24,15,3.14,4.12,5.68,16.2,12.91,18.05,3.29,3.78,22.53,29.4
9-Oct,9,7.4,6,3.9,4,3.7,17,7.8,15,4.6,16.3,15,6.2,7.8,5.8,5.7,4.36,3.11,12.6,8.44,13,9,6,7.7,4.9,21,12,20,7.1,21.5,20,9.3,13,10,11,6.33,4.22,19.4,13.9,8.14,12.07,2.08,2.52,24.61,31.92
10-Oct,10,6.3,9.5,3.8,3.7,3.8,9.6,7,12,3.7,17.9,10,5.6,11,4.2,3.7,6.16,3.31,13.1,7.33,10,14,5.4,6.5,4.9,15,11,17,7.2,25.1,14,8.4,20,7.9,7.1,10.4,4.07,21.6,14,7.46,11.77,1.9,2.46,26.51,34.38
