Date,Jday,RB WY01,RB WY02,RB WY03,RB WY04,RB WY05,RB WY06,RB WY07,RB WY08,RB WY09,RB WY10,RB WY11,RB WY12,RB WY13,RB WY14,RB WY15,RB WY16,RB WY17,RB WY18,RB WY19,WB WY01,WB WY02,WB WY03,WB WY04,WB WY05,WB WY06,WB WY07,WB WY08,WB WY09,WB WY10,WB WY11,WB WY12,WB WY13,WB WY14,WB WY15,WB WY16,WB WY17,WB WY18,WB WY19
1-Oct,1,0.662688,0.713664,1.580256,1.095984,0.89208,1.478304,9.17568,0.458784,3.05856,3.772224,43.3296,3.56832,12.48912,0.586224,0.484272,1.7000496,0.5377968,0.6091632,1.8886608,1.233880615,1.129314462,2.091323077,1.693971692,1.171140923,2.509587692,9.201821538,0.962008615,6.692233846,3.492509538,48.30956308,4.182646154,24.25934769,1.045661538,0.794702769,2.467761231,0.757058954,0.771698215,3.095158154
2-Oct,2,0.6372,0.6372,1.682208,0.917568,0.943056,1.045008,10.95984,0.407808,4.58784,4.33296,11.21472,6.11712,3.8232,0.611712,0.560736,0.8487504,0.5709312,0.598968,16.261344,1.192054154,1.045661538,2.091323077,1.484839385,1.212967385,1.965843692,9.620086154,0.878355692,10.03835077,3.764381538,11.29314462,8.574424615,6.064836923,1.003835077,0.794702769,1.242245908,0.811433354,0.754967631,19.86756923
3-Oct,3,0.586224,0.611712,1.809648,1.045008,1.045008,0.866592,5.35248,0.407808,2.395872,6.321024,4.84272,6.11712,2.5488,0.662688,0.586224,0.6193584,0.6091632,0.5913216,9.277632,1.150227692,0.982921846,2.509587692,1.965843692,1.233880615,1.693971692,5.646572308,0.899268923,4.600910769,6.566754462,5.43744,8.783556923,3.764381538,0.962008615,0.773789538,1.1690496,0.8699904,0.853259815,11.690496
4-Oct,4,0.6372,0.586224,1.503792,4.07808,0.968544,0.739152,6.11712,0.38232,1.478304,3.389904,3.05856,4.07808,5.0976,0.662688,1.503792,0.5199552,0.70092,0.5938704,3.084048,1.150227692,0.899268923,1.986756923,6.901366154,1.192054154,1.463926154,9.620086154,0.962008615,3.136984615,3.576162462,3.764381538,5.855704615,8.783556923,0.962008615,1.861277538,0.989195815,0.995469785,0.957825969,5.102828308
5-Oct,5,0.713664,0.586224,1.503792,4.33296,1.01952,0.662688,10.1952,0.356832,1.070496,2.80368,2.217456,3.8232,4.07808,0.688176,2.80368,0.4485888,0.688176,0.8462016,1.9166976,1.254793846,0.878355692,2.028583385,6.273969231,1.192054154,1.35936,12.12967385,0.836529231,2.509587692,3.095158154,2.71872,6.064836923,6.692233846,0.941095385,3.555249231,0.811433354,0.939004062,1.313350892,3.367030154
6-Oct,6,4.58784,0.994032,1.248912,2.191968,0.968544,0.6372,3.8232,1.78416,0.89208,3.033072,2.140992,2.80368,3.31344,0.917568,0.917568,0.4129056,0.6193584,0.6448464,1.4961456,6.064836923,1.401186462,1.652145231,3.136984615,1.066574769,1.212967385,4.600910769,1.484839385,2.049496615,2.739633231,3.136984615,3.555249231,5.646572308,1.171140923,1.35936,0.711049846,0.920182154,0.907634215,2.614153846
7-Oct,7,2.80368,1.580256,1.121472,1.503792,0.968544,0.76464,2.80368,3.56832,0.790128,10.603008,6.88176,2.064528,2.80368,5.35248,0.866592,0.3874176,0.598968,0.649944,4.919184,3.973513846,1.735798154,1.484839385,2.300455385,1.045661538,1.484839385,3.346116923,2.509587692,1.756711385,12.27606646,6.483101538,2.71872,4.182646154,7.947027692,1.35936,0.683862646,0.880447015,0.907634215,5.019175385
8-Oct,8,2.80368,1.478304,1.01952,1.197936,0.943056,10.70496,2.319408,12.744,0.713664,9.583488,5.0976,1.733184,2.446848,3.56832,1.962576,0.3721248,0.6270048,0.7340544,2.4901776,3.555249231,1.756711385,1.35936,1.944930462,1.024748308,12.12967385,2.927852308,10.03835077,1.568492308,10.31022277,5.228307692,2.300455385,3.346116923,5.019175385,3.136984615,0.656675446,0.861625108,1.187871508,3.387943385
9-Oct,9,1.886112,1.52928,0.994032,1.01952,0.943056,4.33296,1.988064,3.8232,1.172448,4.154544,3.8232,1.580256,1.988064,1.478304,1.452816,1.1112768,0.7926768,3.211488,2.1511872,2.71872,1.882190769,1.254793846,1.610318769,1.024748308,4.391778462,2.509587692,4.182646154,1.484839385,4.496344615,4.182646154,1.944930462,2.71872,2.091323077,2.300455385,1.323807508,0.882538338,4.057166769,2.906939077
10-Oct,10,1.605744,2.42136,0.968544,0.943056,0.968544,2.446848,1.78416,3.05856,0.943056,4.562352,2.5488,1.427328,2.80368,1.070496,0.943056,1.5700608,0.8436528,3.338928,1.8682704,2.091323077,2.927852308,1.129314462,1.35936,1.024748308,3.136984615,2.300455385,3.555249231,1.505752615,5.249220923,2.927852308,1.756711385,4.182646154,1.652145231,1.484839385,2.174976,0.851168492,4.517257846,2.927852308
