STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WT01,WT03,WT04,WT05,WT06,WT11
USC00435416,"MOUNT MANSFIELD, VT US",10/1/00,0,0,0,59,43,57,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/2/00,0,0,0,59,46,56,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/3/00,0,0,0,57,48,50,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/4/00,0.09,0,0,50,37,39,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/5/00,0,0,0,41,37,40,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/6/00,0.95,0,0,43,37,42,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/7/00,0.17,0,0,42,28,33,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/8/00,0.93,6,5,33,25,26,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/9/00,0.11,1.5,6,27,22,25,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/10/00,0.41,3,7,25,20,22,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/11/00,0.69,4,11,38,22,38,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/12/00,0,0,9,48,35,47,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/13/00,0,0,5,52,40,49,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/14/00,0.02,0,0,59,44,57,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/15/00,0,0,0,58,33,36,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/16/00,0.03,0,0,38,29,35,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/17/00,0,0,0,47,34,43,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/18/00,0.6,0,0,44,34,41,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/19/00,0.12,0,0,41,33,36,1,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/20/00,0,0,0,53,31,52,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/21/00,0,0,0,52,45,46,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/22/00,0,0,0,46,22,30,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/23/00,0,0,0,43,29,43,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/24/00,0,0,0,47,37,46,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/25/00,0,0,0,53,41,52,,,,,,
USC00435416,"MOUNT MANSFIELD, VT US",10/26/00,0,0,0,55,44,52,,,,,,
