"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-01","0.00","0.0","0.0","59","43","57"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-02","0.00","0.0","0.0","59","46","56"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-03","0.00","0.0","0.0","57","48","50"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-04","0.09","0.0","0.0","50","37","39"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-05","0.00","0.0","0.0","41","37","40"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-06","0.95","0.0","0.0","43","37","42"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-07","0.17","0.0","0.0","42","28","33"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-08","0.93","6.0","5.0","33","25","26"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-09","0.11","1.5","6.0","27","22","25"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-10","0.41","3.0","7.0","25","20","22"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-11","0.69","4.0","11.0","38","22","38"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-12","0.00","0.0","9.0","48","35","47"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-13","0.00","0.0","5.0","52","40","49"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-14","0.02","0.0","0.0","59","44","57"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-15","0.00","0.0","0.0","58","33","36"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-16","0.03","0.0","0.0","38","29","35"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-17","0.00","0.0","0.0","47","34","43"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-18","0.60","0.0","0.0","44","34","41"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-19","0.12","0.0","0.0","41","33","36"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-20","0.00","0.0","0.0","53","31","52"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-21","0.00","0.0","0.0","52","45","46"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-22","0.00","0.0","0.0","46","22","30"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-23","0.00","0.0","0.0","43","29","43"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-24","0.00","0.0","0.0","47","37","46"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-25","0.00","0.0","0.0","53","41","52"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-26","0.00","0.0","0.0","55","44","52"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-27","0.00","0.0","0.0","58","49","57"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-28","0.00","0.0","0.0","57","17","17"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-29",,"3.5","7.0","17","12","14"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-30","0.30","3.0","7.0","25","14","25"
"USC00435416","MOUNT MANSFIELD, VT US","2000-10-31","0.20","0.0","6.0","32","14","31"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-01","0.00","0.0","5.0","33","26","29"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-02","0.00","0.0","5.0","42","27","39"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-03","0.00","0.0","4.0","50","36","47"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-04","0.03","0.0","2.0","47","36","38"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-05","1.02","7.0","9.0","38","28","28"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-06","0.29","1.0","9.0","27","23","27"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-07","0.04","0.0","6.0","36","27","35"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-08","0.00","0.0","5.0","48","35","40"
"USC00435416","MOUNT MANSFIELD, VT US","2000-11-09","0.00","0.0","0.0","52","37","45"
