date,airtemp_c,windspeed_m_s,rh_per,pyranometer_watt_m2
8/27/12 10:00,20.19,1.481,73.975,530
8/27/12 11:00,20.305,1.32975,74.65,457
8/27/12 12:00,21.375,1.05775,70.65,524.25
8/27/12 13:00,20.1675,1.19075,76.425,308.5
8/27/12 14:00,19.2725,0.965,81.55,153.75
8/27/12 15:00,18.3875,1.1535,86,84.25
8/27/12 16:00,18.145,1.097,88.25,56.75
8/27/12 17:00,18.13,1.205,88.8,42.25
8/27/12 18:00,17.72,1.151,92.05,11.75
8/27/12 19:00,17.4125,1.278,96.35,0
8/27/12 20:00,17.0925,0.7755,100.45,0
8/27/12 21:00,16.785,1.26725,100.9,0
8/27/12 22:00,16.1275,1.1715,101.05,0
8/27/12 23:00,15.925,0.73575,101.1,0
8/28/12 0:00,15.985,0.42325,101.25,0
8/28/12 1:00,15.81,0.58125,101.4,0
8/28/12 2:00,15.7825,0.494,101.5,0
8/28/12 3:00,15.75,0.532,101.525,0
8/28/12 4:00,15.82,0.633,101.6,0
8/28/12 5:00,15.8525,0.55025,101.6,0
8/28/12 6:00,15.65,0.90175,101.65,22.25
8/28/12 7:00,15.685,0.98975,101.7,79.25
8/28/12 8:00,15.485,0.28625,101.675,106.25
8/28/12 9:00,15.5,0.35175,101.15,139.5
8/28/12 10:00,15.38,0.53275,100.125,237
8/28/12 11:00,15.84,0.75425,97.75,429
8/28/12 12:00,15.6225,0.3965,96.625,450.5
8/28/12 13:00,16.0475,0.604,88.25,400
8/28/12 14:00,15.85,0.85575,84.775,242
8/28/12 15:00,15.5825,0.95775,83.925,153.75
8/28/12 16:00,15.12,1.2665,78.275,115.75
8/28/12 17:00,14.4525,1.1385,77.375,63.5
8/28/12 18:00,13.1875,1.12925,75.475,12
8/28/12 19:00,12.41,1.08775,73.725,0
8/28/12 20:00,11.51,0.8395,75.525,0
8/28/12 21:00,11.03,0.3955,75.45,0
8/28/12 22:00,10.2275,0.47925,72.425,0
8/28/12 23:00,9.495,0.39675,69.175,0
8/29/12 0:00,9.2475,0.603,68.15,0
8/29/12 1:00,8.7725,0.556,71.475,0
8/29/12 2:00,8.6575,0.53575,71.675,0
8/29/12 3:00,8.57,0.463,69.325,0
8/29/12 4:00,8.7075,0.611,68.05,0
8/29/12 5:00,8.715,0.66125,69.15,6.25
8/29/12 6:00,8.9875,0.5965,69.85,22.75
8/29/12 7:00,9.6025,0.639,66.925,27
8/29/12 8:00,10.69,0.73775,63.5,115.5
8/29/12 9:00,12.1025,0.77225,62.7,611.75
8/29/12 10:00,13.665,0.65925,57.55,750
8/29/12 11:00,15.0825,0.51875,53.825,833.5
8/29/12 12:00,17.155,0.45375,51.05,834
8/29/12 13:00,17.875,0.33075,49.45,626.75
8/29/12 14:00,17.7775,0.55475,49.55,599.5
8/29/12 15:00,18.09,0.40725,47.85,508.75
8/29/12 16:00,16.8,0.35225,52.55,277.25
8/29/12 17:00,15.4925,0.252,57.125,52
8/29/12 18:00,14.1375,0.22825,63.1,9
8/29/12 19:00,13.4075,0.22075,64.475,0
8/29/12 20:00,13.0125,0.293,61.35,0
8/29/12 21:00,13.03,0.53075,57.35,0
8/29/12 22:00,12.705,0.32825,56.75,0
8/29/12 23:00,12.28,0.49925,59.125,0
8/30/12 0:00,12.175,0.69525,62.225,0
8/30/12 1:00,12.3275,1.277,61.35,0
8/30/12 2:00,12.1425,1.548,62.925,0
8/30/12 3:00,12.35,1.552,64.15,0
8/30/12 4:00,12.225,1.72225,69.55,0
8/30/12 5:00,12.18,1.35125,74.05,6.25
8/30/12 6:00,12.0175,1.3225,78.675,25.75
8/30/12 7:00,12.5875,1.5425,79.575,68.75
8/30/12 8:00,13.3025,2.40675,75.025,122
8/30/12 9:00,14.4425,2.34875,69.8,554.25
8/30/12 10:00,15.6625,2.571,65.7,694.5
8/30/12 11:00,17.13,2.34,60.875,740.25
8/30/12 12:00,18.1075,2.18075,62.7,728.25
8/30/12 13:00,18.975,2.25175,64.525,684
8/30/12 14:00,19.8075,2.21275,62.925,603.5
8/30/12 15:00,20.2925,1.97425,62.675,469.25
8/30/12 16:00,19.8175,1.80575,65.825,256.25
8/30/12 17:00,18.72,1.858,70.275,59.75
8/30/12 18:00,17.8975,2.19275,71.175,10.75
8/30/12 19:00,17.5875,1.9875,70.825,0
8/30/12 20:00,17.3225,2.25225,71.125,0
8/30/12 21:00,16.8,2.30825,74.825,0
8/30/12 22:00,16.385,2.29,76.325,0
8/30/12 23:00,16.265,2.33775,72.65,0
8/31/12 0:00,16.1475,2.626,68.8,0
8/31/12 1:00,16.36,2.804,65.25,0
8/31/12 2:00,16.6625,2.83975,61.05,0
8/31/12 3:00,16.5125,2.822,61.025,0
8/31/12 4:00,15.9475,2.5695,62.025,0
8/31/12 5:00,16.3075,2.4425,56.225,5
8/31/12 6:00,16.2775,2.31825,57.225,45.25
8/31/12 7:00,16.8075,2.37475,59.3,86.25
8/31/12 8:00,17.09,2.027,64.1,186.75
8/31/12 9:00,17.15,1.935,67.55,202.75
8/31/12 10:00,15.415,1.59525,83.225,65.75
8/31/12 11:00,13.55,1.686,99.475,94.75
8/31/12 12:00,15.9025,1.56125,92.6,425.25
8/31/12 13:00,17.345,1.4765,83.425,197.75
8/31/12 14:00,18.1825,1.478,81.325,157
8/31/12 15:00,18.56,1.35425,79.125,42.75
8/31/12 16:00,18.6525,0.724,80,22.5
8/31/12 17:00,17.4275,0.51425,92.85,4.25
8/31/12 18:00,18.2175,0.253,89.575,0
8/31/12 19:00,18.4575,0.3945,89,0
8/31/12 20:00,18.31,0.4625,90.025,0
8/31/12 21:00,18.0275,0.56475,91.8,0
8/31/12 22:00,17.825,0.56075,91.1,0
8/31/12 23:00,17.4325,0.4895,86.95,0
9/1/12 0:00,16.815,0.302,90.05,0
9/1/12 1:00,15.92,0.30025,93.25,0
9/1/12 2:00,15.0775,0,90.525,0
9/1/12 3:00,14,0,77.5,0
9/1/12 4:00,13.3425,0,84.55,0
9/1/12 5:00,13.115,0,83.725,5
9/1/12 6:00,13.6775,0,81.825,25
9/1/12 7:00,14.465,0.02875,80.5,29.5
9/1/12 8:00,15.4275,0.0295,81.975,119.75
9/1/12 9:00,17.0725,0.02575,79,356
9/1/12 10:00,17.345,0.01625,74.475,442
9/1/12 11:00,20.05,0.03525,59.8,637.5
9/1/12 12:00,19.395,0.09225,60.325,656
9/1/12 13:00,20.42,0.08975,54.95,748
9/1/12 14:00,19.39,0.21275,55.45,662.75
9/1/12 15:00,18.8475,0.0895,57.45,493
9/1/12 16:00,17.5975,0.2155,60.875,254.5
9/1/12 17:00,15.17,0.51075,67.7,48
9/1/12 18:00,14.3875,0.2775,67.6,6.25
9/1/12 19:00,14.1075,0,68.35,0
9/1/12 20:00,13.2675,0,72.4,0
9/1/12 21:00,13.415,0,69.625,0
9/1/12 22:00,13.2325,0,70.525,0
9/1/12 23:00,12.67,0,73.075,0
9/2/12 0:00,13.025,0,70.375,0
9/2/12 1:00,13.775,0,65.95,0
9/2/12 2:00,13.9475,0,63.55,0
9/2/12 3:00,13.6675,0.0065,63.425,0
9/2/12 4:00,13.3125,0.004,63.325,0
9/2/12 5:00,13.0475,0.14475,54.7,5.75
9/2/12 6:00,13.365,0.312,55.375,24.5
9/2/12 7:00,13.885,0,57.875,74
9/2/12 8:00,14.45,0.005,57.95,173.25
9/2/12 9:00,18.0975,0.02225,49.25,658.5
9/2/12 10:00,19.17,0.089,45.9,774.25
9/2/12 11:00,18.985,0.1155,45.05,692
9/2/12 12:00,18.5925,0.06075,48.15,408.5
9/2/12 13:00,19.6175,0.0785,44.9,487.25
9/2/12 14:00,19.7525,0.0425,44.875,585.75
9/2/12 15:00,20.2275,0.08875,42.65,535.75
9/2/12 16:00,17.55,0.03425,50.625,250
9/2/12 17:00,15.6575,0.02975,59.175,48.75
9/2/12 18:00,14.6075,0.09275,61.25,7.75
9/2/12 19:00,14.0275,0.0375,62.975,0
9/2/12 20:00,13.8875,0,58,0
9/2/12 21:00,13.3525,0,58.45,0
9/2/12 22:00,12.835,0,60.125,0
9/2/12 23:00,12.9925,0,61.925,0
9/3/12 0:00,13.015,0,60.725,0
9/3/12 1:00,12.575,0,63.3,0
9/3/12 2:00,11.98,0,69.55,0
9/3/12 3:00,12.22,0.0035,68,0
9/3/12 4:00,12.0075,0.052,69.25,0
9/3/12 5:00,12.3575,0.12975,64.8,4.5
9/3/12 6:00,12.825,0,62.875,24
9/3/12 7:00,13.9375,0,69.725,25
9/3/12 8:00,15.405,0.2775,68.375,171
9/3/12 9:00,17.8675,0.74325,67.75,635.75
9/3/12 10:00,20.31,0.45575,60.575,726
9/3/12 11:00,20.905,0.69325,57.375,656.25
9/3/12 12:00,22.2175,1.126,49.175,732
9/3/12 13:00,22.7775,1.22875,44,720
9/3/12 14:00,23.595,1.0285,39.8,643
9/3/12 15:00,23.965,0.716,41.4,484.5
9/3/12 16:00,22.105,0.652,46.575,225.75
9/3/12 17:00,19.6175,0.307,57.425,40.75
9/3/12 18:00,17.725,0.47575,65.425,8.25
9/3/12 19:00,16.8825,0.43425,69.975,0
9/3/12 20:00,16.6225,0.83275,72.825,0
