date,airtemp_c,windspeed_m_s,rh_per,pyranometer_watt_m2,precip
10/1/07 0:00,9.34,1.38,81.15,0,0
10/1/07 1:00,9.57,1.6,81.33,0,0
10/1/07 2:00,9.53,1.52,82.48,0,0
10/1/07 3:00,9.63,1.21,82.83,0,0
10/1/07 4:00,9.33,1.04,85.45,0,0
10/1/07 5:00,9.57,1.28,85.68,0,0
10/1/07 6:00,9.24,1.06,88.78,21.27,0
10/1/07 7:00,9.53,0.93,88.73,77.84,0
10/1/07 8:00,10.06,0.89,86.78,141.65,0
10/1/07 9:00,10.5,1.09,88.28,178.85,0
10/1/07 10:00,11.36,1.04,85.48,281.38,0
10/1/07 11:00,14.68,1.11,74.1,564.25,0
10/1/07 12:00,16.74,1.41,68.51,652.18,0
10/1/07 13:00,18.28,1.25,62.63,544.7,0
10/1/07 14:00,15.87,1.04,71.24,276.33,0
10/1/07 15:00,14.95,0.97,74.45,171.58,0
10/1/07 16:00,13.34,0.97,80.4,72.51,0
10/1/07 17:00,12.26,0.74,88.55,18.23,0
10/1/07 18:00,11.26,1.66,90.4,0,0
10/1/07 19:00,10.45,1.42,90.1,0,0
10/1/07 20:00,10.16,1.09,89.38,0,0
10/1/07 21:00,10.4,0.99,90.4,0,0
10/1/07 22:00,10,0.94,91.85,0,0
10/1/07 23:00,9.75,1.42,92.65,0,0
10/2/07 0:00,9.62,1.66,93.5,0,0
10/2/07 1:00,9.44,1.29,94.65,0,0
10/2/07 2:00,9.34,1.32,95.33,0,0
10/2/07 3:00,9.21,0.82,95.7,0,0
10/2/07 4:00,8.87,0.74,96.45,0,0
10/2/07 5:00,8.24,0.62,97.28,0,0
10/2/07 6:00,7.94,0.6,97.88,12.54,0
10/2/07 7:00,8.58,0.64,98.33,51.65,0
10/2/07 8:00,9.6,1.08,96.8,167.12,0
10/2/07 9:00,13.1,0.62,80.28,484.18,0
10/2/07 10:00,15.26,0,72.52,607.1,0
10/2/07 11:00,16.37,0.16,69.73,552.3,0
10/2/07 12:00,16.39,0.25,69.28,563.7,0
10/2/07 13:00,16.95,0.6,66.49,456.63,0
10/2/07 14:00,14.3,0.87,77.15,228.53,0
10/2/07 15:00,15.73,0.43,72.21,278.65,0
10/2/07 16:00,14.07,0.69,78.95,97.56,0
10/2/07 17:00,11.85,1,86.53,18.6,0
10/2/07 18:00,10.27,1.09,92.73,0,0
10/2/07 19:00,9.87,1.19,93.75,0,0
