myRun,myDataSet,nodes,myTopo,rows,cols,normMeth,wghtMeth,niter,crsAlpha,finAlpha,nClusters,colRowRatio
1,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,2,1.3
2,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,2,1.5
3,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,2,1.4
4,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,2,1.3
5,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,2,1.6
6,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,2,1.5
7,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
8,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,3,1.5
9,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,3,1.4
10,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,3,1.3
11,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,3,1.6
12,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,3,1.5
13,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
14,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,4,1.5
15,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,4,1.4
16,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,4,1.3
17,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,4,1.6
18,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,4,1.5
19,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
20,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,5,1.5
21,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,5,1.4
22,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,5,1.3
23,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,5,1.6
24,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,5,1.5
25,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,2,1.3
26,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,2,1.5
27,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,2,1.4
28,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,2,1.3
29,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,2,1.6
30,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,2,1.5
31,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,3,1.3
32,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,3,1.5
33,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,3,1.4
34,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,3,1.3
35,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,3,1.6
36,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,3,1.5
37,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,4,1.3
38,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,4,1.5
39,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,4,1.4
40,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,4,1.3
41,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,4,1.6
42,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,4,1.5
43,bothSites,192,hexagonal,12,16,L2norm,noPCA,1500,0.05,0.01,5,1.3
44,bothSites,187,hexagonal,11,17,L2norm,noPCA,1500,0.05,0.01,5,1.5
45,bothSites,204,hexagonal,12,17,L2norm,noPCA,1500,0.05,0.01,5,1.4
46,bothSites,221,hexagonal,13,17,L2norm,noPCA,1500,0.05,0.01,5,1.3
47,bothSites,198,hexagonal,11,18,L2norm,noPCA,1500,0.05,0.01,5,1.6
48,bothSites,216,hexagonal,12,18,L2norm,noPCA,1500,0.05,0.01,5,1.5
