Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,2,1.4,0.00833675261049606,0.008337,119.148547,0.01,0
2,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,2,1.3,0.00812493115254418,0.008125,119.148547,0.01,0
3,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,2,1.2,0.00781485896897636,0.007815,119.148547,0.01,0
4,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,2,1.5,0.00763141954139834,0.007631,337.256912,0.01,0
5,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,2,1.3,0.00750465448603611,0.007505,119.148547,0.01,0
6,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,2,1.5,0.00779393596185035,0.007794,119.148547,0.01,0
7,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,3,1.4,0.00846465839352717,0.008465,688.028067,0.01,0
8,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,3,1.3,0.00801098871363019,0.008011,105.485145,0.01,0
9,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.00737659550654249,0.007377,101.993402,0.01,0
10,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,3,1.5,0.00824193733918504,0.008242,622.790078,0.01,0
11,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,3,1.3,0.00730130429660869,0.007301,792.08209,0.01,0
12,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,3,1.5,0.00729264592614687,0.007293,275.940177,0.01,0
13,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.00832985539210415,0.00833,458.129567,0.01,0
14,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,4,1.3,0.00817272501613465,0.008173,710.341541,0.01,0
15,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.00703734430698944,0.007037,719.503609,0.01,0
16,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,4,1.5,0.00839559058922994,0.008396,515.377787,0.01,0
17,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,4,1.3,0.0075963672064106,0.007596,709.841001,0.01,0
18,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,4,1.5,0.00756804471592095,0.007568,530.57425,0.01,0
19,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,5,1.4,0.0086369854061628,0.008637,607.39256,0.01,0
20,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,5,1.3,0.00798229750431647,0.007982,523.85819,0.01,0
21,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.00788234035201773,0.007882,725.773166,0.01,0
22,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,5,1.5,0.00795924888175353,0.007959,568.45787,0.01,0
23,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,5,1.3,0.00774709157501781,0.007747,975.625726,0.01,0
24,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,5,1.5,0.00735118765315594,0.007351,522.792516,0.01,0
