site,wyear,date,doy_wyear,cluster,q_mm,q_mm_cum,snow_dep_m,precip_mm,temp_avg_vwc,pyranometer_watt_m2,use_snow_mm_daily,use_total_mm_daily,temp_avg,temp_max,temp_min,wind_spd_avg
RB,2001,2001-03-09,160,4,0.560736,255.874032,2.413,3.6,-4.6,14.5,0,0,-0.6,2.2,-3.9,0.8
WB,2001,2001-03-09,160,4,0.669223385,301.213262769,2.413,3.6,-4.6,14.5,0,0,-0.6,2.2,-3.9,0.8
RB,2001,2001-03-10,161,4,0.560736,256.434768,2.6162,0,-5.7,79.4,0,0,-1.1,2.2,-4.4,4.1
WB,2001,2001-03-10,161,4,0.669223385,301.882486154,2.6162,0,-5.7,79.4,0,0,-1.1,2.2,-4.4,4.1
RB,2001,2001-03-11,162,4,0.560736,256.995504,2.6416,0,-6.5,32,0,0,-5,2.2,-12.2,3.7
WB,2001,2001-03-11,162,4,0.627396923,302.509883077,2.6416,0,-6.5,32,0,0,-5,2.2,-12.2,3.7
RB,2001,2001-03-12,163,4,0.535248,257.530752,2.5907999999999998,0,-9.9,186,0,0,-7.8,-1.7,-13.9,2.2
WB,2001,2001-03-12,163,4,0.648310154,303.158193231,2.5907999999999998,0,-9.9,186,0,0,-7.8,-1.7,-13.9,2.2
RB,2001,2001-03-13,164,4,0.535248,258.066,2.7432,0.8,-5.1,20.8,0,0,-3.3,0.6,-7.2,2
WB,2001,2001-03-13,164,4,0.648310154,303.806503385,2.7432,0.8,-5.1,20.8,0,0,-3.3,0.6,-7.2,2
RB,2001,2001-03-14,165,4,0.535248,258.601248,2.794,1.5,-4.6,18.5,0,0,0.6,1.1,-0.6,3
WB,2001,2001-03-14,165,4,0.648310154,304.454813539,2.794,1.5,-4.6,18.5,0,0,0.6,1.1,-0.6,3
RB,2001,2001-03-15,166,4,0.535248,259.136496,2.8447999999999998,0,-3.9,137.7,0,0,2.8,5.6,-0.6,3.8
WB,2001,2001-03-15,166,4,0.648310154,305.103123693,2.8447999999999998,0,-3.9,137.7,0,0,2.8,5.6,-0.6,3.8
RB,2001,2001-03-16,167,4,0.535248,259.671744,2.7685999999999997,0,-6.5,167.4,0,0,-3.3,0.6,-7.2,2.4
WB,2001,2001-03-16,167,4,0.669223385,305.772347078,2.7685999999999997,0,-6.5,167.4,0,0,-3.3,0.6,-7.2,2.4
RB,2001,2001-03-17,168,4,0.560736,260.23248,2.7685999999999997,0,-5,198,0,0,-2.8,3.3,-9.4,1.2
WB,2001,2001-03-17,168,4,0.690136615,306.46248369299997,2.7685999999999997,0,-5,198,0,0,-2.8,3.3,-9.4,1.2
RB,2001,2001-03-18,169,4,0.560736,260.793216,2.7432,0,-6.2,129.2,0,0,-2.2,0.6,-5.6,3.1
WB,2001,2001-03-18,169,4,0.690136615,307.152620308,2.7432,0,-6.2,129.2,0,0,-2.2,0.6,-5.6,3.1
RB,2001,2001-03-19,170,4,0.560736,261.353952,2.7685999999999997,0,-2.7,197.5,0,0,-2.2,3.9,-8.3,2.8
WB,2001,2001-03-19,170,4,0.711049846,307.863670154,2.7685999999999997,0,-2.7,197.5,0,0,-2.2,3.9,-8.3,2.8
RB,2001,2001-03-20,171,4,0.6372,261.991152,2.7685999999999997,0,2,161.6,0,0,-1.1,8.9,-11.1,0.1
WB,2001,2001-03-20,171,4,0.773789538,308.637459692,2.7685999999999997,0,2,161.6,0,0,-1.1,8.9,-11.1,0.1
