Run,DataSet,Nodes,Topol,rows,cols,normMeth,wghtMeth,niter,alphaCrs,alphaFin,Clusters,ColRowRat,Dist_mn,QE,npF,pVal_npF,blank
1,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,2,1.4,0.00521508212520146,0.005215,807.414134,0.01,0
2,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,2,1.3,0.00498135682154467,0.004981,1087.894899,0.01,0
3,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,2,1.2,0.00455529221448942,0.004555,1009.172909,0.01,0
4,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,2,1.5,0.00497713151992599,0.004977,1444.927104,0.01,0
5,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,2,1.3,0.00470741395349819,0.004707,1639.487969,0.01,0
6,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,2,1.5,0.00473122450259433,0.004731,917.970216,0.01,0
7,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,3,1.4,0.00533059633781729,0.005331,1613.612152,0.01,0
8,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,3,1.3,0.00486109502905021,0.004861,950.348915,0.01,0
9,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,3,1.2,0.00456861632428703,0.004569,851.812142,0.01,0
10,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,3,1.5,0.0050403952777145,0.00504,1024.492377,0.01,0
11,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,3,1.3,0.00466858958164409,0.004669,900.051924,0.01,0
12,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,3,1.5,0.00485687027326571,0.004857,862.359431,0.01,0
13,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,4,1.4,0.00536315897467994,0.005363,692.760261,0.01,0
14,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,4,1.3,0.00503723256571522,0.005037,1119.123416,0.01,0
15,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,4,1.2,0.00454100100416102,0.004541,679.777288,0.01,0
16,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,4,1.5,0.00499876191095823,0.004999,1242.92298,0.01,0
17,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,4,1.3,0.00476471276088609,0.004765,939.532449,0.01,0
18,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,4,1.5,0.00487965511486605,0.00488,911.987044,0.01,0
19,bothSites,165,hexagonal,11,15,L2norm,noPCA,1000,0.05,0.01,5,1.4,0.00526958726055139,0.00527,1010.002922,0.01,0
20,bothSites,180,hexagonal,12,15,L2norm,noPCA,1000,0.05,0.01,5,1.3,0.00488933295970408,0.004889,1335.58943,0.01,0
21,bothSites,195,hexagonal,13,15,L2norm,noPCA,1000,0.05,0.01,5,1.2,0.00449058823205298,0.004491,771.920966,0.01,0
22,bothSites,176,hexagonal,11,16,L2norm,noPCA,1000,0.05,0.01,5,1.5,0.00501502882687917,0.005015,1072.801127,0.01,0
23,bothSites,192,hexagonal,12,16,L2norm,noPCA,1000,0.05,0.01,5,1.3,0.00469014882535749,0.00469,958.796126,0.01,0
24,bothSites,187,hexagonal,11,17,L2norm,noPCA,1000,0.05,0.01,5,1.5,0.00471512740024675,0.004715,1061.644052,0.01,0
